message,hate_speech,chess
the other day i jewgled 72 shot chicago and no mainstream media listing came up--just smaller outlets and blogs .,0,0
8000 $ later paid for byjiffylube his car was as good as new .,0,0
i honestly believe that folks are s l o w l y getting wise and fed up with this `` sea hags '' crap .,0,0
fucking hate ghetto girls bruh,1,0
you're just trash like sorry,0,0
i was recently in zaporojie ukraine which has a famous cossack enclave where i had the opportunity to dine at a cossack restaurant and listen to traditional cossack music played live .,0,0
rt @_danieebro: all these bitches fake if you ask me,0,0
so much more going on but hypocrisy doesn't sit well with me. my redneck family from central illinois more black then bieber!,1,0
hi i have not been on here in ages .,0,0
rt @cthagod: lance stephenson trash talk didn't affect anybody but lance stephenson,0,0
