message,hate_speech,chess
chess advocates that white pieces should move first. absolutely racist. chess players dont even deny that white has inherent advantage - totally raycist,0,1
at 6:31 after qa3 you showed the variation with black pushing d5 but what about pushing c5 instead? cuts off the white queen solidifies black queenside pawn structure....seems decent. *edit* i guess after that c5 though black has no threats so white can just go rd2 preparing rh-d1 to double up and its the same problem for black. plus in this variation qa6+ or qxa7 could always be threats for white.,0,1
"""black lost black is poorer here white is dominating "" they will want the piecescolor changed . insanity reigns .",0,1
7:48 black should move to g5 and white cannot move to g3 because black is moving g4 and this is strong attacks for black! white after can't take bishop because white is loosing rook!,0,1
i cant believe magnus blundered the game like that lol he just loves toying with these serious chess players its so funny everybody is trying to be better than him while he's jus chillin being a human being in hawaii,0,1
white played a move and white resigned. yes i've seen that before. white plays what he thinks is a good move but discovers that it's really a huge blunder and resigns on the spot.,0,1
this is awesome!!!! all those top tourneys are boring as fuck. college basketball is more exciting,0,1
they seperate men and women only because chess is considered a sport.. and in events like olympia and stuff women and men get seperated so this also applies to chess.. still makes no sense to me..,0,1
fuck off showing alternatives and ruining watching the games you fish cake.,0,1
how the fuck did he trap his queen in the second game...we missed because of bad commentary and we do not want u to teach us fucking cunts,0,1
at 4:47 why not f5 for black?,0,1
thanx for a great show. gentlemen! happy to notice that the trash talk bs was just hype. they turned out to be friendly respectful and well behaved ... which you may not experience regarding live chats. too many idi ... not so educated neanderthals.,0,1
there truly is no way to save the hippo. unless the killer of the hippo dooes not see the hippo.,0,1
"you should start your next show with ""hello people"" just to fuck with them.",0,1
"at 3:38 does black queen ""have"" to take the white knight? if black king escapes to f8 then white knight goes back it is discovered check and if king escapes to g8 again white knight comes back repeat it three times and black draws the game which should be advantageous.",0,1
"i was waiting for ""why did he resign ? ... well there are two fucking white queens on the board"" :d",0,1
we need a new tactician like kasparov to wipe the floor with these guys.,0,1
it's still not clear to me why black keres is necessarily winning even after taking the white donner queen in the last position displayed at 6:52. if white blocks the check by the black bishop with his queen then bxq on g2 ch rxb on g2 and white still has 2 rooks 1 bishop and 5 pawns against black who has a queen a rook and 6 pawns. the only advantage i see for black is the passed pawn on d6 after the black pawn on d3 takes the white pawn on c2. otherwise i see the battle continuing without a clear victor. if anyone would care to clarify this for me i would appreciate it.,0,1
this is kinda racist and random but white starts and black is 2nd uhhhhhhh...,0,1
i don't know what the engines would say but intuitively it seems like black should've just taken the knight on c5 with his queen. it ends up net even in material after white sacked his queen and screws up whites anticipated tactical sequence which did in fact lead to mate since it was not disrupted.,0,1
i bet stockfish wud have won if stockfish was white white has the more upper hand as white starts first,0,1
at 23:01 cant black play rh5 and if white takes the a pawn black takes h pawn also if after rh5 white does h3 black goes a5??,0,1
beauiful video! what if after white bishop takes pawn on e6 and black king to b8 then instead of qxp qg8 check! seems white can get either a perpetual skewer the black queen or check black with the dark square bishop.,0,1
you are in your own home...comfortable... i hope you are warm also. - fucking classic!!!!,0,1
after 36. fxe4 white is threatening be1 but i think the threat is not the a5 pawn but the move bc3 threatening the e5 pawn?,0,1
where was black's fatal mistake? white's build-up against the black kingside was so methodical it made the saemisch look like a guaranteed win against the king's indian but that can't be true!,0,1
i still think the monkey will win.,0,1
at: 12:04 - i think he played g4 to threat g5 dismantling the pawnstructre since the f6-pawn is pinned to the king. so black has to take with h6 or let white to take h6. if black takes g5 then rh1 is a big threat. since ... rh4 n. rxh4 gxh4. n+1. qh5 threatning qh8 winning the g7 pawn. but after checking with an engine it g4 seems to do nothing lol :p black was accualy better at that point karpov blundered hard he should have just played qc6,0,1
it's games like this that hammer home just how high in the stratosphere the play of gms like carlsen and svidler is and how i'm seemingly still wallowing in the mud. very interesting game. great analysis!,0,1
can someone please take that drawling idiot outside and give him the lennie small treatment,0,1
mommy hold my milk n cookies this bloke wants to tussle for dat meddle.,0,1
the have taken mating too far!,0,1
i get it! you're the top black one and you made a defense that loses!! you can't be white because white wasn't really defending...,0,1
that end games looks like a draw to me... its hard to see how it's winning for white. i seems like black should be able to block whites advance.,0,1
that's retarded so because carlsen didn't notice or tell an illegal move that his opponent made he loses. that's retarded. no offense but like in all sports shouldn't there be a referee or someone who watches for illegal moves. and why is ignoring an illegal move illegal? stupid rules,0,1
"am i the only one who understands when mato is going to say ""white black played the move and black white resign""?",0,1
but at 3:49 its not whites move its blacks move and black if black plays qa6 and now if u play bh6 then f5 although still black loses eventually its not what u expected because its black to move,0,1
i only watched the trailer an the critics about the pawn sacrifice. in my opinion is a pure propaganda movie.,0,1
1:38 this is the worst moment to do that. in simply strategic terms white has no bishop in black squares so its pawns must not be placed in white squares. other reason is that there must not be any holes in your position and f5 leaves a big hole in e5 for the black knight.,0,1
reminds me of a thing on the radio where they were saying d&d is racist because you pick a race and the races have preconceived notions about them. i know these issues are serious but stuff like this makes you go seriously?.,0,1
yesss! more and more of this kiblitzing hikaru! and thx very instructive.,0,1
doesnt knight a6 stop all the threats in the thumbnail?,0,1
they unsubscribe us against our will.,0,1
6:19 i'm confused why can't the black rook take the white pawn now since the white rook moved to the 8th rank?,0,1
get rid of this f*cking bar on the left!,0,1
gotta disagree with your assessment following pawn c5-c6. if pawn takes pawn b7-c6 then knight takes pawn e5-c6 white loses the bishop with rook d8-d3. the correct followup move for white would be rook takes pawn c1-c6 threatening black's queen and pawn and white would have the better position.,0,1
i haven´t had my coffee yet but why not white´s bishop takes the g7 pawn with check and regardless of which of the three possible moves for the black king white´s rook slides over to the g file with check in one case or protecting the bishop in the other two while getting away from black´s bishop. then depending on black´s moves white´s queen can still jump to a1 f8 or g3,0,1
the number of threats in the thumbnail brought me here,0,1
no one will actually believe or see this but i can see clear advantage for white and i promise after 18 years of chess i am not talking out my ass.,0,1
doesn't have to sacrifice the white queen. qe3 pins black queen on h4.next black move does not matter what it is.pawn g3. qg3. white queen e7 mate. little longer but this way the queen lives and only sacrificing a pawn.,0,1
sam shankland is the #3~#4 american-born player not too shabby.,0,1
alpha zero is our messiah and is taking revenge for the countless ass whoopings that we suffered on stockfish's hands.,0,1
"this reminds me of the concepts of sieges. white made the fortress in the bottom left corner while magnus essentially ""starved"" white by making white have to move and lose pieces thus losing the fortress and allowing magnus to enter and forcing white to surrender.",0,1
reading the comments here explains why chess barely has any women playing it if i was a girl i'd sure run away from all these creepers,0,1
at 15:22 if black goes k c4 b4 a5 and challenges the white night how can the white night protect the pawns?,0,1
at 1:56 if white plays d3 black can reply with bb4. a crushing move. white will lose the queen.,0,1
agad is like that olympian that steals fire to give the freeezin plebs on the ground that we call chessamatuers... *the principle of 2weaknesses...* thats how i keep losing my endgames,0,1
"native australian is a real nationality but by blood or dna whites and blacks in australia are not really ""australians"".....its like saying ""i have an american blood"" there is no such thing as american canadian or australian blood...whites in america are immigrants from europe...same with australia.",0,1
wait... did you say fourty to fifty people at once blindfolded? what the literal fuck.,0,1
"12.e5 - great example ofgiving up a pawn so that a n can be moved closer e4 toattacking the enemy k. made possible by black's weak move 11..be6 it challengeswhite's bb2 but does nothing to protect h7 andmakes the black k pawns less flexible better was nc5. 10.. nd7 was not a bad move until 11..be6 was played instead of nc5 whichwouldthen cause qg4 f6 and black holds . to make it worse 13..exf4 wasinattentive to the opponent's plan. bxh7+ is a good sac as mato notes but only after other white pieces have gainedaccess to black's k don't do it prematurely. 15..re8 wasweak better was nd4 that black ""considered but didn't like"". if nd4 then yes bxh7+ but kh8 not kxh7 white must move r and then black can defend whatever's nextwith moves like e5 qg5 nf6. instead black played15..re8 and then the n is ""free"" for white snatching it with16.rxf6 cannot be answered withgxf6 as mato shows.",0,1
let's just be honest. chess is a bunch of crap people trying to show their superiority although the problem is they can't so they look for alternative methods. the chess world is full of a bunch of loser's in life looking for a platform of success.,0,1
i hate it when granmasters don't capture early and then find themselves later in a much worse position in which they need to give up much more. everyone can do that. then what is the point of being a gm? capture early idiots.,0,1
7:03 its a winning for black cuz if white king kill the bishop its not a check mate,0,1
i've invented a new strategy for beginners for winning any chess game. it's called the fat load fat turd or fat wad strategy. here's how it works... you take another fantastical universe that i have personally created _just_ for you where your pieces are magically all queens all the time and your opponent's pieces are always regular pieces... check mate...! :d i said check mate bizaitch! get that stupid weak ass knight outta my way homeboy! the end... check out my new strategy on my page. have a great da-aaay! >:,0,1
i fucking hate chess 9lx,0,1
