,message,hate_speech
0,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",0
1,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",0
2,( Simply copy and paste the following text into your YouTube videos description boxes. ),0
3,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,1
4,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,0
5,"Booklet updated on Feb. 14th , 2014 .",0
6,"( Now with over 18,300 Downloads. )",0
7,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,0
8,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,0
9,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,0
10,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",1
11,Thank you for the info. i will deffinetly look into them .,0
12,I hope there is room for one more as i am very excited about this .,0
13,I just came across this piece of garbage .,0
14,Comments say she is from SA .,0
15,Warning : Graphic .,0
16,Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube,0
17,The whites are more in the range of 4.8 million .,0
18,I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,0
19,Thank you for posting your story .,0
20,I think you should write a book as well .,0
21,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",1
22,And the sad thing is the white students at those schools will act like that too .,1
23,"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",0
24,Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .,0
25,No wonder young people ca n't get jobs .,0
26,They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,0
27,"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .",0
28,National Geographic magazines in the 1950s and early 1960s are replete with color photos of African villagers .,0
29,Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .,0
30,I think VHS tapes are available at Amazon .,0
31,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,1
32,When the girl starts talking the guy in the middles lips start moving .,0
33,"He was checking her lines , bad actors ca n't help themselves from doing this .",0
34,This whole situation starts to become really bizarre .,0
35,I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......,0
36,I do n't know who to support anymore ................,0
37,I've read many post on here saying Israel gives training to US law enforcement .,0
38,I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .,0
39,I believe his dog would like to get as far away from him as possible !,0
40,Free North Carolina : Peterson 's particulars VikingInMe,0
41,"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",0
42,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,1
43,The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada,0
44,I do n't watch T.V. or Hollywood movies .,0
45,I know of Chris Rock and subsequently have hated him for a long time .,0
46,He is a pathetic little chimp .,1
47,Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .,0
48,"Seekers of Truth , Start out by watching the `` Benjamin Freedman Speaks '' video @ youtube .",0
49,"com/watch ? v = hXBcyX97jGM then move on to watching , `` The Loss of Liberty '' film @ youtube .",0
50,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,0
51,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,0
52,com/watch ? v = 6OK6ks7BSOY For a FREE informative BOOKLET & video on the Zionist-engineered INTENTIONAL destruction of White people go to : youtube .,0
53,com/watch ? v = n663eVTSyS8,0
54,Note!,0
55,"Wntube is now .net , not .com.",0
56,They have improved the site .,0
57,Please contribute and/or donate .,0
58,http://www.wntube.net/play.php ? vid = 1428 & code = 108,0
59,Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,1
60,Welcome to the front lines ...,0
61,"Folk , Faith , Family Hail Victory !!",0
62,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",1
63,Protesters Clash during Military Parade in Barking,0
64,Does this not show how stupid these folks can be ?,0
65,"Let 's order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us .",0
66,Nice to know that are still a few men out there who `` have a pair '' .,0
67,Your courage and honestly are apprecated .,0
68,Jesus Christ is Lord indeed .,0
69,Y' all have a nice day .,0
70,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",1
71,May they all get mad cow disease .,1
72,The sooner the better .,0
73,"Yeah, but no one will ever hear of this .",0
74,Instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .,0
75,That's all I needed to hear .,0
76,* Unsubscribed * Off to the SA threads .,0
77,There are White folks that require a little of our time .,0
78,I guess Mr. Pena forgot about the black speed skater who won the gold and is being glorified on NBC every 5 minutes .,0
79,I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,0
80,http://www.visioncircle.org/archive/003870.html,0
81,I'm having a hard time believing this .,0
82,I have 2 friends in CS and neither has EVER worked with a black .,0
83,"All their coworkers are white , NE asian or indian/paki , except one guy worked with a mestizo for a few weeks on a project .",0
84,"Hundreds of people , but no blacks !",0
85,"I also attended a Masters/PhD graduation ceremony at a major state university a few years ago - none of the CS degrees were awarded to blacks. [ a couple computer degrees went to blacks , but they were in IT with a focus on internet marketing/web-commerce ] So where are all these black computer geniuses hiding ?",0
86,"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",0
87,"Unfortunately , there are some poor White families where both parents work .",0
88,"Perhaps if a school district has only a few White families left , they could get together and each parent could teach the kids one day per week .",0
89,The parents who could n't teach on weekdays could teach on Saturday .,0
90,That was me .,0
91,I have no intention of ever setting foot in Mexico so I 'll have to take your word for it .,0
92,Excellent Article !! * * * * * Why Were n't They In Jail ?,0
