message,hate_speech,chess
you love pulling things out of your ass do n't you .,0,0
@kazatta if yo girl let them in she a hoe...she belong to the world why u cuffing her,0,0
bitches be peekin https: t.co tl352dmt1n,0,0
rt @naezus: i remember playing the halo 4 episodes with @the_paradox. the pussy finished all chapters without me. fuck him.,0,0
@discordianslip alright amateur grease monkey show me how its done. wait that sounds racist...,0,0
the negress above have boasted about that she will become the first black woman as the prime minister of sweden .,0,0
if them niggas pussy we douche em we clean em out,1,0
i went to high school with f * ckers just like the guy in the original video .,0,0
my house is so piece full thank god these little jungle bunnies are outta my face,1,0
same bitches they be all in my face bout how they couldn't do it be the same bitches all on his dick &#128530,0,0
then keep changing the name of the file as new movies come out .,0,0
i hate when bitches only wanna talk to me is when their bf breaks up with them or theyre on break with their bf. no nigga. fuck out my inbox,0,0
rt @the_ironsheik: wake up you dumb son of a bitch,0,0
rt @champagne_____: karma's a bitch. don't dish what you can't take. &#128583,1,0
&#8220 @yankees: #yankees and red sox are scoreless as we play in the 2nd inning.&#8221 the bambino is watching!,0,0
@lurk_god fag,1,0
first impressions ...,0,0
you are welcome to grab on if you like !,0,0
https: www.stormfront.org forum show...t+20867&page=9 just go to my post further down the page drug dealing murdering racemixing zionist masonic scumbags the last picture of the black orangemen f * ckin hell i nearly split my sides laughing,1,0
"rt @youngcoke__: ""@1stblocjeremiah: @1stblock_rody yu ah hoe""lmfao",0,0
rt @flirtywords: distance is a fucking bitch.,1,0
happy birthday national socialism thread !,0,0
if there are they hide or do n't know stormfront .,0,0
&#8220 @thefunnyvine: red neck ice bucket challenge &#128514 https: t.co cagp3niofd&#8221 he must be from the sip. #redneck,0,0
a simple lack of judgement caused this .,0,0
rt @spaceplankton: if one more fb idiot bitches about the weather i will hunt them down &amp kill them with kindness because everyone is enti&#8230,0,0
high school is tough for everyone. grow the fuck up and stop being a little bitch. that should be a tag line for my new speaking tour,0,0
you little twats.,0,0
dusty rhodes ?!,0,0
rt @sc4k: getting ready for the annual heart and sole luncheon @renhotels #cle with @ericgordon_ceo http: t.co uj721fmsxb,0,0
at the water 's edge : fish with fingers whales with legs and how life came ashore but then went back to sea - carl zimmer streets of laredo - larry mcmurtry,0,0
"was just informed that ""crunk ain't dead ho!""&#8230 lol okay sure",0,0
@jaibrooks1 faggot,1,0
notice all the lovely pakistani people celebrating it warms the cockles of my heart - it really does .,0,0
"""@socass_: ""@00sexilexi00: @socass_ yasss"" *trys new things with bestfriend*"" *bitch who do you love*",0,0
it's a start .,0,0
rt @ovgenocide: first off fuck your bitch. and the click you claim.,1,0
"rt @cheefpolo: i hate when bitches be like ""deeper deeper"" bitch what u thought i had some spare dick in my back pocket i was saving?",0,0
hiya i 'm new here and sick of watching my country become infected with the disease of multiculturalism .,1,0
@pepper_redbone @yankees @mets i miss nyc!! nashville needs a pro al team. the closest is kc or tampa. that's pretty bad. the south is nl.,0,0
thank you hand out that candy charlie @charlie4927 @stacydmomof5 @revkahjc @cantucimblonde @kacado @pattism74,0,0
this hoe got 10 seconds to get the hell up outta my face before i set that weave on fire..,1,0
@titan21mtzzz vegeta is a little bitch #teamgoku,0,0
it is athens in greece with population 4.000.000 people.the non whites blacks asians are 5000 at the most.maybe you see a black person once in a couple of months or in television .,0,0
rt @girlposts: i hate when netflix stop &amp asks if im still watchin like yes u think i got up &amp started doin somethin with my life bitch put&#8230,0,0
don't you hate that dumb ass voice that everyone uses when they try to mock something you said?,0,0
rt @l1ldebbie: you keep your bitch &amp ill stay on my grind.,0,0
nappy chin hairs bitch i'm mothafuckin q!,0,0
eldritch and myself went early to the harbour but all the boats were cancelled on account of rough weather .,0,0
