message,hate_speech,chess
fuck you bitch i have to fucking piss i take 30 seconds you take 5 fucking minutes &#128545 &#128545 &#128545 &#128545,0,0
rt @pacino718: rt @crucifixio: &#128077 &#8220 fuck the skinny bitches in the club!&#8221 - @nickiminaj #anaconda http: t.co hqige3cqna,0,0
i'm just saying in your twitter pic you look like such a guido and i love it #pattyfuckingboges,0,0
experience charlie. married woman who loves hot phone sex with strangers. can you get me off? - 27 http: t.co jtsijbulvc,1,0
no i don't love these hoes and fuck these niggas fuckem,1,0
!!! rt @mayasolovely: as a woman you shouldn't complain about cleaning up your house. &amp as a man you should always take the trash out...,0,0
fat bitch,1,0
@operationsafe @galtsgirl lived there and can attest to that. trust them over any muzzie nation by a million light years,1,0
"rt @kingmiller_: the top comeback for when you call a nigga ugly. 1. ""i still pull more hoes than you.""",1,0
these areas that you name are the preserve of the rich you wont find a single white working class person living there.we might look down on blacks and pakis as scum and not want them living near us but the upper class feel exactly the same about us,1,0
"rt @_ryanrod: rt @amazinthegreat: girls say bs like ""you got too many hoes"". stop letting twitter and ig fool you. i don't know these fucki&#8230",0,0
#fact females that tweet all the dayum day r hoes that need attention #ijs #wontgetme,1,0
@kade_melton he triesto cause drama between people he said that you called me a bitch and i know you didnt hahahaaha,0,0
so lets do it to the beaners .,0,0
i'm sorry.. i'm sorry.. i can't fuc wit u no mo hoe.. and i'm sorry &#128514,0,0
drm radio will be broadcasting it 's second show live this coming thursday the 23rd dec 8pm to 10pm on http: drmradio.ubroadcast.com listeners to the show are welcome to send us material they would like to have read on-air during any of our live broadcasts .,0,0
rt @amyrosekathryn: justice for british seagull spray-painted red by thugs! the bird won&#8217 t be able to fly anymore! http: t.co 8pyhwe4l8s h&#8230,0,0
rt @now_thats_fresh: eddy murphy the first celebrity to be spotted in public with a durag and a white bitch. monumental #duraghistoryweek h&#8230,0,0
rt @pocahontias__: idc about yall bitches yo,0,0
"rt @vodkapapixo: ""@weed_cloudz: ""6 god"" by drake is trash"" thank you",1,0
rt @estellleeee: lol bitches act hard when they stay getting they ass beat &#128514 &#128557 &#128514,0,0
niggas killin the same nigga's they grew up with &amp &amp these bitches fuckin the same nigga's they homegirl was inlove with.,1,0
@kierstenhammond i slid in your dms so answer me bitch!!,0,0
have you ever seen the `` white priviledge checklist '' that these people use ?,0,0
maybe @barackobama is colored blind with his 'red lines' and all. tough talk no walk. #tcot,1,0
rt @antglizzygg: ain't talk 2 my mova n a week first thing she say is where shy an benny &#128514,0,0
@emmalouisasuttl @timmyn90 anyone bring in a monkey.,0,0
jeter almost broke yankee stadium,0,0
because whites are discouraged from breeding .,0,0
my aunt teaches at an all black inner city school in kent oh .,0,0
rt @maycie32: @whitecholo23 ya by being your bitch,0,0
you see through the bs and are using fb for the cause .,0,0
iv .,0,0
chess is just another way to make the black and white fight against each other. time to end racism. #cancelchess,0,1
"""for every bad bitch there is a nigga tired of fucking her""",0,0
"u know u watch too much gay porn when u refer to boy butts as ""man ass"" or ""boy pussy"" bc me in my head 24 7",0,0
i was once told this story which i have no particular reason to doubt: a young danish chessplayer - who later became a gm and later still moved to iceland - was often when the weather was nice sitting in the pedestrian street in central københavn or copenhagen as foreigners call it with a small table two chairs and a chessboard challenging bypassing people to a game of chess. there would be a little money at stake - nothing much but during an afternoon our challenger could still make a fine profit. and there was not much risk involved as our chessplayer was strong enough to know every danish player who might be able to beat him. but one day an old foreign gentleman with a soft hat and a walking stick came by. and he played a game ... which he won. our danish player wanted to play again ... and again he lost! i don't know how many games were played before our young danish player asked the tourist who he was. the old man was ... naidorf.,0,1
get gas masks !,0,0
@stevestockmantx bullshit..i guess the poor have all the money..tax money movers at same rate as working people..you teabaggers are traitors,0,0
@keyshawnswag lol nigga them look like a combo of trash in your house &amp trash at the dump,0,0
@itskeeshkapeesh *yourself *faggot buy a dictionary,1,0
protesting at a funeral ?,0,0
lol i see what you did there rt @jaywiz614: @itsnotharold hell yeah bitches hate that shit,0,0
only a f' n jew would have the nerve to hide away in a black country a fugitive from us law while making campaign promises at the same time as suing the company he defrauded .,1,0
be trippin when i call you hoe but bitch you know i talk like dat! -- @1future voice,0,0
i think there are some great country and western songs about or related to driving trucks .,0,0
@gbleighton remember 94 can be a bitch! stop to drink if you get stalled #wib advice!,0,0
@diishaidiamond lmao yesterday ? them hoes was cute af lol,0,0
@qui_thepharaoh @zapollo0803 @mildlydarkskin hes a lying faggot. he used inspect element to change the number of dollars in his account.,1,0
i have read a 70 - + million figure 92.5 million figure and an estimate of over 100 million figure so i compromised at 90 .,0,0
